1,csrouter2,192.41.170.23,0.451,-35.3164,150.4361
2,203.159.63.17,203.159.63.17,1.150,13.754,100.5014
3,203.185.127.249,203.185.127.249,1.770,13.75,100.4667
4,202.29.12.5,202.29.12.5,1.413,13.75,100.4667
5,sg-so-06.bb-v4.noc.tein2.net,202.179.249.29,116.099,39.9289,116.3883
6,sg.pr-v4.noc.tein2.net,202.179.249.22,361.332,39.9289,116.3883
7,tpr4-10gi0-0-0-280.jp.apan.net,203.181.248.138,231.145,35.69,139.69
8,starlight-tpr4.jp.apan.net,203.181.248.98,374.311,35.69,139.69
9,216.24.184.21,216.24.184.21,375.233,39.1604,-119.8618
10,denv-chic-36.layer3.nlr.net,216.24.186.5,398.551,39.1604,-119.8618
11,seat-denv-58.layer3.nlr.net,216.24.186.7,424.411,39.1604,-119.8618
12,microsoft-1-lo-jmb-706.sttlwa.pacificwave.net,207.231.240.7,404.870,47.6026,-122.3284
13,ge-7-3-0-46.wst-64cb-1a.ntwk.msn.net,207.46.46.194,407.127,47.6801,-122.1206
14,ge-6-1-0-0.tuk-64cb-1a.ntwk.msn.net,207.46.35.2,402.645,47.6801,-122.1206
15,ten1-2.tuk-76c-1b.ntwk.msn.net,207.46.41.94,409.982,47.6801,-122.1206
16,po15.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.138,410.634,47.6801,-122.1206
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
31,*,*,*,,
32,*,*,*,,
33,po15.tuk-65ns-mcs-1a.ntwk.msn.net,207.46.35.138,410.428,47.6801,-122.1206
34,*,*,*,,
35,*,*,*,,
36,*,*,*,,
37,*,*,*,,
38,*,*,*,,
39,*,*,*,,
40,*,*,*,,
41,*,*,*,,
42,*,*,*,,
43,*,*,*,,
44,*,*,*,,
45,*,*,*,,
46,*,*,*,,
47,*,*,*,,
48,*,*,*,,
49,*,*,*,,
50,*,*,*,,
51,*,*,*,,
52,*,*,*,,
53,*,*,*,,
54,*,*,*,,
55,*,*,*,,
56,*,*,*,,
57,*,*,*,,
58,*,*,*,,
59,*,*,*,,
60,*,*,*,,
61,*,*,*,,
62,*,*,*,,
63,*,*,*,,
64,*,*,*,,
